Episode: 59	Total Reward: -130.0	Explore P: 0.6370	Training Loss: 19.9672	Buffer size: 4631.0000
Episode: 60	Total Reward: -120.0	Explore P: 0.6308	Training Loss: 18.7084	Buffer size: 4731.0000
Episode: 61	Total Reward: -130.0	Explore P: 0.6246	Training Loss: 20.9212	Buffer size: 4831.0000
Episode: 62	Total Reward: -120.0	Explore P: 0.6185	Training Loss: 57.4146	Buffer size: 4931.0000
Episode: 63	Total Reward: 71.0	Explore P: 0.6170	Training Loss: 25.2010	Buffer size: 4956.0000
Episode: 64	Total Reward: -125.0	Explore P: 0.6109	Training Loss: 289.8181	Buffer size: 5056.0000
Episode: 65	Total Reward: 14.0	Explore P: 0.6066	Training Loss: 143.8286	Buffer size: 5128.0000
Episode: 66	Total Reward: 94.0	Explore P: 0.6062	Training Loss: 300.0932	Buffer size: 5135.0000
Episode: 67	Total Reward: -125.0	Explore P: 0.6003	Training Loss: 31.1967	Buffer size: 5235.0000
Episode: 68	Total Reward: -125.0	Explore P: 0.5944	Training Loss: 8.1124	Buffer size: 5335.0000
Episode: 69	Total Reward: 71.0	Explore P: 0.5930	Training Loss: 8.6208	Buffer size: 5360.0000
Episode: 70	Total Reward: -2.0	Explore P: 0.5881	Training Loss: 11.0099	Buffer size: 5443.0000
Episode: 71	Total Reward: 65.0	Explore P: 0.5863	Training Loss: 41.6798	Buffer size: 5474.0000
Episode: 72	Total Reward: -120.0	Explore P: 0.5806	Training Loss: 7.8066	Buffer size: 5574.0000
Episode: 73	Total Reward: 91.0	Explore P: 0.5800	Training Loss: 7.9155	Buffer size: 5584.0000
Episode: 74	Total Reward: 73.0	Explore P: 0.5787	Training Loss: 111.1862	Buffer size: 5607.0000
Episode: 75	Total Reward: 71.0	Explore P: 0.5773	Training Loss: 13.7566	Buffer size: 5632.0000
Episode: 76	Total Reward: 85.0	Explore P: 0.5764	Training Loss: 19.1658	Buffer size: 5648.0000
Episode: 77	Total Reward: -23.0	Explore P: 0.5708	Training Loss: 9.1538	Buffer size: 5747.0000
Episode: 78	Total Reward: 93.0	Explore P: 0.5704	Training Loss: 9.3805	Buffer size: 5755.0000
Episode: 79	Total Reward: -125.0	Explore P: 0.5648	Training Loss: 35.7303	Buffer size: 5855.0000
Episode: 80	Total Reward: -130.0	Explore P: 0.5593	Training Loss: 23.8699	Buffer size: 5955.0000
Episode: 81	Total Reward: 47.0	Explore P: 0.5569	Training Loss: 40.6885	Buffer size: 5999.0000
Episode: 82	Total Reward: -130.0	Explore P: 0.5514	Training Loss: 5.7373	Buffer size: 6099.0000
Episode: 83	Total Reward: -125.0	Explore P: 0.5460	Training Loss: 83.3783	Buffer size: 6199.0000
Episode: 84	Total Reward: -125.0	Explore P: 0.5407	Training Loss: 8.0942	Buffer size: 6299.0000
Episode: 85	Total Reward: 52.0	Explore P: 0.5386	Training Loss: 26.6613	Buffer size: 6338.0000
Episode: 86	Total Reward: 13.0	Explore P: 0.5351	Training Loss: 1.5500	Buffer size: 6406.0000
Episode: 87	Total Reward: 62.0	Explore P: 0.5333	Training Loss: 36.9380	Buffer size: 6440.0000
Episode: 88	Total Reward: -130.0	Explore P: 0.5281	Training Loss: 15.7594	Buffer size: 6540.0000
Episode: 89	Total Reward: 71.0	Explore P: 0.5268	Training Loss: 9.3576	Buffer size: 6565.0000
Episode: 90	Total Reward: -125.0	Explore P: 0.5216	Training Loss: 21.4894	Buffer size: 6665.0000
Episode: 91	Total Reward: 76.0	Explore P: 0.5206	Training Loss: 21.2978	Buffer size: 6685.0000
Episode: 92	Total Reward: 60.0	Explore P: 0.5188	Training Loss: 24.4874	Buffer size: 6721.0000
