Wall time,Step,Value
1747395484.771919,0,174.09873962402344
1747395504.913158,1,3.104051113128662
1747395521.9817688,2,6.242219924926758
1747395539.686868,3,2.4996297359466553
1747395557.904089,4,3.419041156768799
1747395575.344196,5,3.5547282695770264
1747395593.250995,6,2.5559072494506836
1747395595.147819,7,2.117844581604004
1747395613.023177,8,10.738968849182129
1747395625.9555998,9,11.911356925964355
1747395643.395364,10,7.6042962074279785
1747395660.346582,11,5.750514984130859
1747395677.30039,12,13.746198654174805
1747395678.781776,13,4.113871097564697
1747395696.258359,14,22.330337524414062
1747395714.227107,15,29.630821228027344
1747395732.054375,16,3.4947452545166016
1747395750.5573142,17,14.744455337524414
1747395768.67068,18,94.64940643310547
1747395785.78721,19,19.403152465820312
1747395804.520294,20,20.154150009155273
1747395822.342224,21,24.08332061767578
1747395828.650829,22,14.655572891235352
1747395846.386975,23,7.525052070617676
1747395864.678765,24,7.390724182128906
1747395880.504514,25,1.7782959938049316
1747395900.385864,26,166.00601196289062
1747395918.565305,27,6.088884353637695
1747395921.9582222,28,145.74136352539062
1747395930.460295,29,4.616225719451904
1747395947.991002,30,6.757133483886719
1747395966.083584,31,9.980688095092773
1747395971.072381,32,4.379707336425781
1747395988.751271,33,63.71086120605469
1747395994.3012621,34,2.0602915287017822
1747396012.36005,35,2.7279880046844482
1747396031.58813,36,3.3660740852355957
1747396049.409014,37,1.9757556915283203
1747396053.3709161,38,8.967802047729492
1747396063.8414562,39,16.002769470214844
1747396076.837215,40,10.368032455444336
1747396094.258132,41,3.5233876705169678
1747396112.654284,42,54.75456237792969
1747396120.5604422,43,6.215854167938232
1747396138.102794,44,157.9488067626953
1747396145.048741,45,17.09442138671875
1747396146.624053,46,60.97922134399414
1747396153.9552372,47,52.728546142578125
1747396158.5474381,48,12.45677661895752
1747396177.056609,49,9.642888069152832
1747396178.35719,50,28.65277099609375
1747396195.973234,51,4.983678817749023
1747396214.304693,52,5.787716388702393
1747396220.570915,53,45.8134765625
1747396233.5864289,54,45.15690231323242
1747396245.8395362,55,7.828830718994141
1747396264.2013419,56,27.841964721679688
1747396266.1860921,57,21.29575538635254
1747396284.360914,58,2.8354270458221436
1747396302.209292,59,19.96717071533203
1747396320.931796,60,18.70838165283203
1747396339.1999218,61,20.921178817749023
1747396357.5853188,62,57.414588928222656
1747396362.785575,63,25.200956344604492
1747396380.692001,64,289.818115234375
1747396395.386741,65,143.82864379882812
1747396396.989025,66,300.09320068359375
1747396418.261204,67,31.196697235107422
1747396438.285356,68,8.112436294555664
1747396443.1662972,69,8.620848655700684
1747396458.282017,70,11.009880065917969
1747396464.121446,71,41.67982864379883
1747396481.017807,72,7.806623458862305
1747396483.058329,73,7.915533065795898
1747396488.3549042,74,111.18622589111328
1747396493.433983,75,13.756576538085938
1747396496.784066,76,19.165782928466797
1747396515.788681,77,9.153785705566406
1747396517.3288152,78,9.380507469177246
1747396535.326978,79,35.730342864990234
1747396552.085639,80,23.86988639831543
1747396559.744261,81,40.688514709472656
1747396576.380578,82,5.737274169921875
1747396593.0264661,83,83.37833404541016
1747396609.582562,84,8.094213485717773
1747396616.518951,85,26.66128158569336
1747396629.918437,86,1.550026535987854
1747396636.7277281,87,36.93804931640625
1747396653.794846,88,15.759446144104004
1747396658.502701,89,9.357635498046875
1747396676.313,90,21.489370346069336
1747396679.950801,91,21.29775047302246
1747396686.7706409,92,24.4874267578125
1747396703.404594,93,24.386978149414062
1747396715.486239,94,9.204532623291016
1747396723.9648058,95,17.57938575744629
1747396740.383444,96,7.800537109375
1747396756.6759198,97,57.29936981201172
1747396757.899369,98,18.138916015625
1747396774.959734,99,12.847177505493164
